band_abbrev,band_copied,date_right_after_band,notes_copied
hariprasad_chaurasia,"""Hariprasad Chaurasia""",,""""""
hartford,"""unknown""",,""""""
hats off gentlemen it's adequate,"""Hats off Gentlemen It's Adequate""",,""""""
haunted,"""Haunted""",,""""""
hawktail,"""Hawktail""",,""""""
hawkwind,"""Hawkwind""",,""""""
hayley,"""Hayley Jane""",,""""""
hayleyjane,"""Hayley Jane""",,""""""
hb,"""HB""",,""""""
hbb,"""unknown""",,""""""
hc,"""unknown""",,""""""
healy,"""unknown""",,""""""
heart,"""Heart""",,""""""
heartbreakers,"""Heartbreakers""",,""""""
heather findlay,"""Heather Findlay""",,""""""
heaven,"""Heaven""",,""""""
hedges,"""Hedges""",,""""""
helgeschneider,"""Helge Schneider""",,""""""
hell'sbelles,"""Hell's Belles""",,""""""
helmet,"""Helmet""",,""""""
helmet of gnats,"""Helmet of Gnats""",,""""""
hempress sativa,"""Hempess Sativa""",,""""""
hendrix,"""Jimi Hendrix""",,""""""
henri texier,"""Henri Texier""",,""""""
henrik.freischlader,"""Henrik Freischlader""",,""""""
henry butler,"""Henry Butler""",,""""""
henry cow,"""Henry Cow""",,""""""
henrythreadgill,"""Henry Threadgill""",,""""""
herbert groenemeyer,"""Herbert Groenemeyer""",,""""""
herbert joos trio,"""Herbert Joos Trio""",,""""""
herbie hancock,"""Herbie Hancock""",,""""""
heroes,"""Heroes""",,""""""
heronoblivion,"""Heron Oblivion""",,""""""
herring,"""Herring""",,""""""
hesperion_xxi,"""Hesperion XXI""",,""""""
hesperionxxi,"""Hesperion XXI""",,""""""
hexvessel,"""Hexvessel""",,""""""
heynderickx,"""Haley Heynderickx""",,""""""
heyocean,"""Hey Ocean!""",,""""""
hfot,"""unknown""",,""""""
hftrr,"""Hurray For the Riff Raff""",,""""""
hhancockheadhunters,"""Herbie Hancock & The Head Hunters""",,""""""
hhg,"""Horseshoes & Hand Grenades""",,""""""
hht,"""unknown""",,""""""
higgs,"""The Higgs""",,""""""
highcountry,"""High Country""",,""""""
hillbenders,"""The HillBenders""",,""""""
him,"""HIM""",,""""""
hirax,"""Hirax""",,""""""
hirie,"""HIRIE""",,""""""
hiroyatsukamoto,"""Hiroya Tusukamoto""",,""""""
hisb,"""Honey Island Swamp Band""",,""""""
hissgoldenmessenger,"""Hiss Golden Messenger""",,""""""
hlm,"""unknown""",,""""""
hm,"""unknown""",,""""""
hm+vm,"""unknown""",,""""""
hmasekela,"""Hugh Masekela""",,""""""
hoa,"""unknown""",,""""""
hol,"""unknown""",,""""""
hole,"""Hole""",,""""""
holiday,"""Holiday""",,""""""
holly,"""Holly""",,""""""
holly bowling,"""Holly Bowling""",,""""""
hollybowling,"""Holly Bowling""",,""""""
homemadesin,"""Homemade Sin""",,""""""
honey,"""Honey""",,""""""
honey.island.swamp.band,"""Honey Island Swamp Band""",,""""""
honeyblood,"""Honey Blood""",,""""""
honeywood,"""Honeywood""",,""""""
honig,"""unknown""",,""""""
hoodoo,"""HooDoo""",,""""""
hookworms,"""Hookworms""",,""""""
hooverphonic,"""Hooverphonic""",,""""""
hornsby,"""Bruce Hornsby""",,""""""
horrors,"""The Horrors""",,""""""
horsesha,"""The Horse's Ha""",,""""""
howe gelb,"""Howe Gelb""",,""""""
hr,"""H.R.""",,""""""
hs,"""unknown""",,""""""
https,"""notband""",,""""""
hubbard,"""unknown""",,""""""
hudson,"""Hudson""",,""""""
hugh masekela,"""Hugh Masekela""",,""""""
hugh masekela & larry willis,"""Hugh Masekela & Larry Willis""",,""""""
hughmasekela,"""Hugh Masekela""",,""""""
human league,"""Human League""",,""""""
husker du,"""Hüsker Dü""",,""""""
husker_du,"""Hüsker Dü""",,""""""
huskerdu,"""Hüsker Dü""",,""""""
hwa,"""Hard Working Americans""",,""""""
hwang,"""unknown""",,""""""
hypnos,"""Hypnos""",,""""""
i musici veneziani,"""I Musici Veniziani""",,""""""
iabd,"""unknown""",,""""""
iam,"""unknown""",,""""""
iamthemorning,"""iamthemorning""",,""""""
ian anderson,"""Ian Anderson""",,""""""
ian hunter,"""Ian Hunter""",,""""""
ian moore,"""Ian Moore""",,""""""
iananderson,"""Ian Anderson""",,""""""
iananderson'sjethrotull,"""Jethro Tull""",,""""""
ic,"""Ice Cube""",,""""""
icecube,"""Ice Cube""",,""""""
icedearthsb,"""Iced Earth""",FALSE,""""""
icicle works,"""Icicle Works""",,""""""
icp,"""ICP Orchestra""",,""""""
icp orchestra,"""ICP Orchestra""",,""""""
icp-orchestra,"""ICP Orchestra""",,""""""
icporchestra,"""ICP Orchestra""",,""""""
idina,"""Idina Menzel""",,""""""
idles,"""Idles""",,""""""
idlewild,"""Idlewild""",,""""""
iggy pop,"""Iggy Pop""",,""""""
iim,"""unknown""",,""""""
ij,"""unknown""",,""""""
ijet,"""unknown""",,""""""
ik,"""unknown""",,""""""
ikue mori - mars williams,"""Ikure Mori & Mars Williams""",,""""""
im,"""Ikure Mori""",,""""""
imagine dragons,"""Imagine Dragons""",,""""""
imarhan,"""Imarhan""",,""""""
in love with,"""In Love With A Ghost""",,""""""
incognitos,"""Incognitos""",,""""""
indigenous,"""Indigenous""",,""""""
indochine,"""Indochine""",,""""""
infamousstringdusters,"""The Infamous String Dusters""",,""""""
inglorious,"""Inglorious""",,""""""
inna de yard,"""Inna De Yard""",,""""""
insania,"""Insania""",,""""""
instant_attraction,"""Instant Attraction""",,""""""
intergalactic lovers,"""Intergalactic Lovers""",,""""""
interpol,"""Interpol""",,""""""
inxs,"""INXS""",,""""""
iq,"""IQ""",,""""""
iration,"""Iration""",,""""""
irishmythen,"""Irish Mythen""",,""""""
iron & wine,"""Iron & Wine""",,""""""
iron maiden,"""Iron Maiden""",,""""""
ironmaiden,"""Iron Maiden""",,""""""
isaac gracie,"""Isaac Gracie""",,""""""
isb,"""The International Staff Band""",,""""""
isbell,"""Jason Isbell""",,""""""
isd,"""unknown""",,""""""
isle,"""Isle""",,""""""
israel_vibration,"""Israel Vibration""",,""""""
itvb,"""unknown""",,""""""
ivan,"""unknown""",,""""""
iw,"""unknown""",,""""""
izakaya-d,"""Izakaya""",FALSE,""""""
izzy,"""Dr. Izzy""",,""""""
j. boog,"""J-Boog""",,""""""
j.j. cale,"""JJ Cale""",,""""""
j.w.jones,"""JW Jones""",,""""""
jaap blonk,"""Jaap Blonk""",,""""""
jab,"""JAB""",,""""""
jabercrombie,"""John Abercrombie""",,""""""
jack dejohnette,"""Jack DeJohnette""",,""""""
jack&ginger,"""Jack & Ginger""",,""""""
jackie greene,"""Jackie Greene""",,""""""
jackiegreene,"""Jackie Greene""",,""""""
jackirons,"""Jack Irons""",,""""""
jackryan,"""Jack Ryan""",,""""""
jackshit,"""Jack Shit""",,""""""
jackson browne,"""Jackson Browne""",,""""""
jackson browne & jonthan wilson,"""Jackson Browne & Jonathan Wilson""",,""""""
jackson browne murcia,"""Jackson Browne""",FALSE,""""""
"jackson, joe","""Joe Jackson""",,""""""
jacksonbrowne,"""Jackson Browne""",,""""""
jacob collier & fat-suit,"""Jacob Collier & Fat-Suit""",,""""""
jade jackson,"""Jade Jackson""",,""""""
jadejackson,"""Jade Jackson""",,""""""
jafw,"""unknown""",,""""""
jahroots,"""Jah Roots""",,""""""
jaimoe,"""Jaimoe""",,""""""
jakob_dylan,"""Jakob Dylan""",,""""""
jamc,"""The Jesus & Mary Chain""",,""""""
james,"""James""",,""""""
james blunt,"""James Blunt""",,""""""
james gang,"""James Gang""",,""""""
james heather,"""James Heather""",,""""""
james hunter cazorla,"""James Hunter Cazorla""",,""""""
james intveld,"""James Intveld""",,""""""
jamesblunt,"""James Blunt""",,""""""
jamesgang,"""James Gang""",,""""""
jamesmcmurtry,"""James McMurtry""",,""""""
jamie,"""unknown""",,""""""
jamiroquai,"""Jamiroquai""",,""""""
jandek,"""Jandek""",,""""""
jane_weaver,"""Jane Weaver""",,""""""
janis,"""Janis Joplin""",,""""""
japandroids,"""Japandroids""",,""""""
jaq,"""unknown""",,""""""
jared james nichols,"""James Jared Nichols""",,""""""
jarlath henderson band,"""Jarlath Henderson Band""",,""""""
jarosz,"""Sarah Jarosz""",,""""""
jarosz-dance,"""Sarah Jarosz""",FALSE,""""""
jarthur,"""The J. Arthur Keenes Band""",,""""""
jason,"""unknown""",,""""""
jason bonham,"""Jason Bonham""",,""""""
jason falkner,"""Jason Falkner""",,""""""
jason isbell,"""Jason Isbell""",,""""""
jason moran,"""Jason Moran""",,""""""
jason.isbell,"""Jason Isbell""",,""""""
jasonisbell,"""Jason Isbell""",,""""""
jasonmraz,"""Jason Mraz""",,""""""
jasper van t hof,"""Jasper van 't Hof""",,""""""
jauntee,"""Jauntee""",,""""""
jay-z,"""Jay-Z""",,""""""
jayhawks,"""The Jayhawks""",,""""""
jayne county,"""Jayne County""",,""""""
jaystarling,"""Jay Starling""",,""""""
jbgb,"""The JBGB""",,""""""
jbonamassamilw,"""Joe Bonamassa""",FALSE,""""""
jbonamassawausau,"""Joe Bonamassa""",FALSE,""""""
jbuckley,"""Jeff Buckley""",,""""""
jbulmer-t,"""unknown""",,""""""
jc&bw,"""unknown""",,""""""
jcbw,"""unknown""",,""""""
jcc,"""unknown""",,""""""
jcyoung,"""J.C. Young""",,""""""
jd,"""JD & The Straight Shot""",,""""""
jdb,"""JD & The Straight Shot""",,""""""
jdg,"""JDG""",,""""""
jean-paul bourelly,"""Jean-Paul Bourelly""",,""""""
jeff,"""unknown""",,""""""
jeff beck,"""Jeff Beck""",,""""""
jeffaustinband,"""Jeff Austin Band""",,""""""
jeffbeck,"""Jeff Beck""",,""""""
jefferson airplane,"""Jefferson Airplane""",,""""""
jefferson starship,"""Jefferson Starship""",,""""""
jeffmartin,"""Jeff Martin""",,""""""
jeffrey gaines,"""Jeffrey Gaines""",,""""""
jefftweedy,"""Jeff Tweedy""",,""""""
jellyfish,"""Jellyfish""",,""""""
jen cloher,"""Jen Cloher""",,""""""
jen cloher & band,"""Jen Cloher""",,""""""
jenn nas,"""unknown""",,""""""
jenniferoconnor,"""Jennifer O'Connor""",,""""""
jennilyn,"""Jenni Lyn""",,""""""
jerry jeff walker & david bromberg,"""Jerry Jeff Walker & David Bromberg""",,""""""
jerrydouglas,"""Jerry Douglas""",,""""""
jesca hoop,"""Jesca Hoop""",,""""""
jessandtheancientones,"""Jess & The Ancient Ones""",,""""""
jesse,"""unknown""",,""""""
jesse colin young,"""Jesse Colin Young""",,""""""
jessemalin,"""Jesse Malin""",,""""""
jessie ware,"""Jessie Ware""",,""""""
jessiemaehemphill,"""Jessie Mae Hemphill""",,""""""
jesus and mary chain,"""The Jesus & Mary Chain""",,""""""
jethro tull,"""Jethro Tull""",,""""""
jethrotull,"""Jethro Tull""",,""""""
jfk,"""JFK""",,""""""
jg&jk,"""Jerry Garcia & John Kadlecik""",,""""""
jg+jk,"""Jerry Garcia & John Kadlecik""",,""""""
jgab,"""The Jerry Garcia Band""",,""""""
jgarciaband,"""The Jerry Garcia Band""",,""""""
jgb d,"""The Jerry Garcia Band""",FALSE,""""""
jgbcb,"""The Jerry Garcia Band""",FALSE,""""""
jgbw,"""unknown""",,""""""
jgjk,"""Jerry Garcia & John Kadlecik""",,""""""
jh&tiw,"""unknown""",,""""""
jherring,"""Jimmy Herring""",,""""""
jhiatt,"""John Hiatt""",,""""""
jhiw,"""unknown""",,""""""
jillbarber,"""Jill Barber""",,""""""
jim,"""unknown""",,""""""
jim+jesse,"""Jim & Jesse""",,""""""
jimjames,"""Jim James""",,""""""
jimjonesrevue,"""Jim Jones Revue""",,""""""
jimlauderdale,"""Jim Lauderdale""",,""""""
jimmy,"""unknown""",,""""""
jimmy herring,"""Jimmy Herring""",,""""""
jimmy herring and the invisible whip,"""Jimmy Herring & The Invisible Whip""",,""""""
jimmy vaughan,"""Jimmy Vaughan""",,""""""
jimmy.reiter,"""Jimmy Reiter""",,""""""
jimmyheath,"""Jimmy Heath""",,""""""
jimmyherring,"""Jimmy Herring""",,""""""
jimshaw+d'red d'warf,"""Jim Shaw with D'red & D'warf""",,""""""
jimsuhler&jasonelmore,"""Jim Suhler & Jason Elmore""",,""""""
jimwhite,"""Jim White""",,""""""
jjb,"""Jeremiah Johnson Band""",,""""""
jjgrey,"""JJ Grey""",,""""""
jjw,"""Jerry Jeff Walker""",,""""""
jkb,"""John Kadlecik""",,""""""
jlg,"""JLG""",,""""""
jlh,"""JLH""",,""""""
jlm,"""JLM""",,""""""
jlt,"""John Lindberg Trio""",,""""""
jm_tb,"""unknown""",,""""""
jmb,"""JMB's""",,""""""
jmf,"""unknown""",,""""""
jmiw,"""unknown""",,""""""
jmnd,"""unknown""",,""""""
jo,"""unknown""",,""""""
joan baez,"""Joan Baez""",,""""""
joan osborne,"""Joan Osborne""",,""""""
joan osborne & friends,"""Joan Osborne & Friends""",,""""""
joanna gruesome,"""Joanna Gruesome""",,""""""
joannateters,"""Joanna Teters""",,""""""
joanosborne,"""Joan Osborne""",,""""""
joe b,"""Joe Bonamassa""",,""""""
joe bonamassa,"""Joe Bonamassa""",,""""""
joe bonmassa,"""Joe Bonamassa""",,""""""
joe ely,"""Joe Ely""",,""""""
joe henry,"""Joe Henry""",,""""""
joe satriani,"""Joe Satriani""",,""""""
joe walsh,"""Joe Walsh""",,""""""
joe walsh and barnstorm,"""Joe Walsh & Barnstorm""",,""""""
joe-sumner,"""Joe Sumner""",,""""""
joe_moss,"""Joe Moss""",,""""""
joe_walsh,"""Joe Walsh""",,""""""
joebonamassa,"""Joe Bonamassa""",,""""""
joepug,"""Joe Pug""",,""""""
john,"""unknown""",,""""""
john abercrombie,"""John Abercrombie""",,""""""
john cale,"""John Cale""",,""""""
john gorka,"""John Gorka""",,""""""
john grant,"""John Grant""",,""""""
john lee hooker,"""John Lee Hooker""",,""""""
john martyn,"""John Martyn""",,""""""
john mayall malaga,"""John Mayall""",FALSE,""""""
john mayer,"""John Mayer""",,""""""
john mclaughlin,"""John McLaughlin""",,""""""
john mclaughlin and jimmy herring,"""John McLaughlin & Jimmy Herring""",,""""""
john moreland,"""John Moreland""",,""""""
john prine,"""John Prine""",,""""""
john_mayall,"""John Mayall""",,""""""
johnabercrombieqt,"""John Abercrombie""",FALSE,""""""
johnbutlertrio,"""John Butler Trio""",,""""""
johncale,"""John Cale""",,""""""
johnfogerty,"""John Fogerty""",,""""""
johnfullbright,"""John Fullbright""",,""""""
johnhiatt,"""John Hiatt""",,""""""
johnhiatt_lylelovett,"""John Hiatt& Lyle Lovett""",,""""""
johnkband,"""John K Band""",,""""""
johnmaus,"""John Maus""",,""""""
johnmayall,"""John Mayall""",,""""""
johnmayer,"""John Mayer""",,""""""
johnmclaughlin,"""John McLaughlin""",,""""""
johnmclaughlin-cranston,"""John McLaughlin""",FALSE,""""""
johnmoreland,"""John Moreland""",,""""""
johnny cash,"""Johnny Cash""",,""""""
johnny clegg,"""Johnny Clegg""",,""""""
johnny mathis,"""Johnny Mathis""",,""""""
johnny thunder,"""Johnny Thunder""",,""""""
johnny thunders,"""Johnny Thunder""",FALSE,""""""
johnprimer,"""John Primer""",,""""""
johnstonstephensbladesamendola,"""John/Stephens/Blades/Amendola""",,""""""
johnstubblefield,"""John Stubblefield""",,""""""
jonathan edwards,"""Jonathan Edwards""",,""""""
jonathan wilson,"""Jonathan Wilson""",,""""""
jonathan.wilson,"""Jonathan Wilson""",,""""""
jonnylang,"""Jonny Lang""",,""""""
jonthan wilson,"""Jonathan Wilson""",,""""""
jools,"""Jools Holland""",,""""""
jordi_savall,"""Jordi Savall""",,""""""
josarthur,"""Joseph Arthur""",,""""""
joseph,"""Joseph Arthur""",,""""""
joseph_arthur,"""Joseph Arthur""",,""""""
josh,"""unknown""",,""""""
joshphillips,"""Josh Phillips""",,""""""
joshuaredmanzakirhussain,"""Joshua Redman & Zakir Hussain""",,""""""
journey,"""Journey""",,""""""
jpbiondo_chriskearney,"""JP Biondo & Chris Kearney""",,""""""
jrad,"""Joe Russo's Almost Dead""",,""""""
jredman,"""Joshua Redman""",,""""""
jrk,"""JRK""",,""""""
jrwb,"""J. Roddy Walston & The Business""",,""""""
jsbx,"""The Jon Spencer Blues Explosion""",,""""""
jt hhring,"""unknown""",,""""""
jte,"""Justin Townes Earle""",,""""""
jtearle,"""Justin Townes Earle""",,""""""
judas priest,"""Judas Priest""",,""""""
judymowatt,"""Judy Mowatt""",,""""""
juicy lucy,"""Juicy Lucy""",,""""""
julia kadel trio,"""Juila Kadel Trio""",,""""""
juliedoiron,"""Julie Doiron""",,""""""
julytalk,"""July Talk""",,""""""
juniorwells,"""Junior Wells""",,""""""
jupiter okwess,"""Jupiter & Okwess""",,""""""
justin,"""unknown""",,""""""
justin townes earle,"""Justin Townes Earle""",,""""""
justinhayward,"""Justin Hayward""",,""""""
justintownesearle,"""Justin Townes Earle""",,""""""
jv,"""JV""",,""""""
jwjones,"""JW Jones""",,""""""
jwroy,"""JW Roy""",,""""""
k,"""notband""",,""""""
k-ink iv,"""unknown""",,""""""
k.flay,"""K.Flay""",,""""""
kabaka pyramid,"""Kabaka Pyraid""",,""""""
kaceymusgraves,"""Kacey Musgrave""",FALSE,""""""
kadavar,"""Kadavar""",,""""""
kalamahara,"""Kalamahara""",,""""""
kalamata,"""Kalamata""",,""""""
kaleo,"""Kaleo""",,""""""
kalle,"""Kalle""",,""""""
kamasiwashington,"""Kamasi Washington""",,""""""
kandace,"""Kandance""",,""""""
karine polwart,"""Karine Polwart""",,""""""
karl blau,"""Karl Blau""",,""""""
kaseychambers,"""Kasey Chambers""",,""""""
kaushiki chakrabarty,"""Kaushiki Chakrabarty""",,""""""
kc,"""KC""",,""""""
kclarkson,"""Kelly Clarkson""",,""""""
kdgb,"""KDGB""",,""""""
kebbi&friends,"""Kebbi Williams & Friends""",,""""""
kedwards,"""Elly Kedward""",FALSE,""""""
keels,"""KEELS""",,""""""
keith,"""unknown""",,""""""
keith jarrett,"""Keith Jarrett""",,""""""
keith richards,"""Keith Richards""",,""""""
kellywillis,"""Kelly Willis""",,""""""
kennedys,"""Dead Kennedys""",,""""""
kenny wayne shepherd,"""Kenny Wayne Shepherd""",,""""""
kennywayne,"""Kenny Wayne Shepherd""",,""""""
kentuckycolonels,"""Kentucky Colonels""",,""""""
kentuckycols,"""Kentucky Colonels""",,""""""
kesha,"""Kesha""",,""""""
kevnk,"""unknown""",,""""""
khb,"""unknown""",,""""""
killer country,"""Killer Country""",,""""""
killers,"""The Killers""",,""""""
kim fowley,"""Kim Fowley""",,""""""
kimrichey,"""Kim Richey""",,""""""
king,"""unknown""",,""""""
king buffalo,"""King Buffalo""",,""""""
king diamonds - live chile,"""King Diamonds""",FALSE,""""""
kingbuffalo,"""King Buffalo""",,""""""
"kinison, sam","""Sam Kinison""",,""""""
kinks,"""The Kinks""",,""""""
kinkscwpostny,"""The Kinks""",FALSE,""""""
kirk vanguard,"""unknown""",FALSE,""""""
kiss,"""KISS""",,""""""
kit downes,"""Kit Downes""",,""""""
kite base,"""Kite Base""",,""""""
kneedelus,"""Kneebody & Daedelus""",,""""""
kochlea,"""Kochlea""",,""""""
koko taylor,"""Koko Taylor""",,""""""
koko_taylor,"""Koko Taylor""",,""""""
kool-aid,"""Kool-Aid""",,""""""
korekyojinn,"""Korekyojinn""",,""""""
kot,"""K.O.T.""",,""""""
kperry,"""Katy Perry""",,""""""
kraftwerk,"""Kraftwerk""",,""""""
krasno,"""Eric Krasno""",,""""""
kravitz,"""Lenny Kravitz""",,""""""
kreator,"""Kreator""",,""""""
krissy.matthews,"""Krissy Matthews""",,""""""
kristofferson,"""Kris Kristofferson""",,""""""
krushfaktory,"""Krush Factory""",,""""""
ksan,"""unknown""",,""""""
kumbia queers,"""Kumbia Queers""",,""""""
kungfu,"""Kung Fu""",,""""""
kurt,"""unknown""",,""""""
kurt edelhagen,"""Kurt Edelhagen""",,""""""
kvb,"""The KVB""",,""""""
kwashington,"""Kamasi Washington""",,""""""
kwnfriends,"""unknown""",,""""""
kylehollingsworthband,"""Kyle Hollingsworth Band""",,""""""
kyros,"""Kyros""",,""""""
l,"""notband""",,""""""
l subramaniam,"""L. Subramaniam""",,""""""
l'enfance rouga,"""L'Enfance Rouge""",,""""""
la,"""unknown""",,""""""
lacunacoilaburg,"""Lacuna Coil""",FALSE,""""""
ladygaga,"""Lady Gaga""",,""""""
lake,"""Lake""",,""""""
lakeland,"""Lakeland""",,""""""
lamb of god,"""Lamb of God""",,""""""
lambchop,"""Lambchop""",,""""""
lana del rey,"""Lana Del Ray""",,""""""
lancelopez,"""Lance Lopez""",,""""""
langhorne,"""Langhorne Slim""",,""""""
laraaji,"""Laraaji""",,""""""
larry_teresa,"""Larry Campbell & Teresa Williams""",,""""""
larryandteresa,"""Larry Campbell & Teresa Williams""",,""""""
larrycampbell,"""Larry Campbell""",,""""""
larrymccraygroup,"""Larry McCray Group""",,""""""
lasse marhaug,"""Lassa Marhaug""",,""""""
last in line,"""Last in Line""",,""""""
launchpad,"""Launchpad""",,""""""
laura jurd dinosaur,"""Laura Jurd & Dinosaur""",,""""""
laura oakes,"""Laura Oaks""",,""""""
laura_nyro,"""Laura Nyro""",,""""""
laurie anderson,"""Laurie Anderson""",,""""""
laurie lewis,"""Laurie Lewis""",,""""""
lazuli,"""Lazuli""",,""""""
lcb,"""unknown""",,""""""
lcd,"""LCD Soundsystem""",,""""""
lcd soundsystem,"""LCD Soundsystem""",,""""""
lct,"""unknown""",,""""""
lctw,"""unknown""",,""""""
ldk,"""unknown""",,""""""
ldw,"""Life During Wartime""",,""""""
le silo,"""Le Silo""",,""""""
le_gran_detuning,"""notband""",,""""""
leaveseyes,"""Leaves' Eyes""",,""""""
leaving trains,"""The Leaving Trains""",,""""""
lee,"""unknown""",,""""""
lee fields & the expressions,"""Lee Fields & The Expressions""",,""""""
lee ranaldo,"""Lee Ranaldo""",,""""""
lee_ranaldo,"""Lee Ranaldo""",,""""""
leeranaldo,"""Lee Ranaldo""",,""""""
lefly,"""LE FLY""",,""""""
lefotversalmon,"""incorrect""",,""""""
leftoversalmon,"""incorrect""",,""""""
legend of the seagull men,"""Legend of the Seagullmen""",,""""""
legendary pink dots,"""The Legendary Pink Dots""",,""""""
legendaryflowerpunk,"""The Legendary Flower Punk""",,""""""
lenny kaye,"""Lenny Kaye""",,""""""
lenny kravitz,"""Lenny Kravitz""",,""""""
leon russell,"""Leon Russell""",,""""""
leonard bernstein,"""Leonard Bernstein""",,""""""
leonardcohen,"""Leonard Cohen""",,""""""
leonrussell,"""Leon Russell""",,""""""
lepoemeharmonique,"""Le Poème Harmonique""",,""""""
les,"""unknown""",,""""""
les brers,"""Les Brers""",,""""""
les bres,"""Les Brers""",,""""""
les filles de illighadad,"""Les Filles de Illighadad""",,""""""
lesbrers,"""Les Brers""",,""""""
lesbros,"""Les Brers""",,""""""
lesdudek,"""Les Dudek""",,""""""
leslie stevens,"""Leslie Stevens""",,""""""
lesrallizes,"""Les Rallizes Dénudés""",,""""""
letsdanza,"""Let's Danza!""",,""""""
lg,"""Liam Gallagher""",,""""""
liamgallagher,"""Liam Gallagher""",,""""""
life,"""LIFE""",,""""""
lifehouse,"""Lifehouse""",,""""""
lifesigns,"""Lifesigns""",,""""""
lightfoot,"""Gordon Lightfoot""",,""""""
lightninmalcolm,"""Lightnin Malcolm""",,""""""
likhoduo,"""Likho Duo""",,""""""
lil_ed,"""Lil' Ed""",,""""""
lilsmokies,"""The Lil Smokies""",,""""""
linda ronstadt,"""Linda Ronstadt""",,""""""
lindenberg k,"""unknown""",,""""""
lindisfarne,"""Lindisfarne""",,""""""
lindley ingram,"""David Linley & Wally Ingram""",,""""""
lindsey,"""Marcus Lindsey Band""",,""""""
link wray,"""Link Wray""",,""""""
liquidvisions,"""Liquid Visions""",,""""""
liquor,"""unknown""",,""""""
lisa hannigan,"""Lisa Hannigan""",,""""""
little.steven,"""Little Steven""",,""""""
little_steven,"""Little Steven""",,""""""
littlebrother,"""Little Brother""",,""""""
littlehurricane,"""Little Hurricane""",,""""""
littlesteven,"""Little Steven""",,""""""
litz,"""LITZ""",,""""""
livedead,"""Live Dead""",,""""""
livedead_riders,"""Live Dead & Riders""",,""""""
living end,"""The Living End""",,""""""
liz longley,"""Liz Longley""",,""""""
lk,"""The LK""",,""""""
lkexplosion,"""The LK""",FALSE,""""""
lkr,"""unknown""",,""""""
ll,"""unknown""",,""""""
ln,"""unknown""",,""""""
lo moon,"""Lo Moon""",,""""""
loaded,"""Loaded""",,""""""
loaded download,"""Loaded""",FALSE,""""""
lofs,"""unknown""",,""""""
london contemp orch,"""London Contemporary Orchestra""",,""""""
london grammar,"""London Grammar""",,""""""
londonsouls,"""The London Souls""",,""""""
lonelykamel,"""Lonely Kamel""",,""""""
lonelytrailer,"""Lonely Trailer""",,""""""
lonnie mack,"""Lonnie Mack""",,""""""
lonniesmith,"""Lonnie Smith""",,""""""
lord huron,"""Lord Huron""",,""""""
lordnelson,"""Lord Nelson""",,""""""
lordsofblackaburg,"""Lords of Black""",FALSE,""""""
los coyotes blues band,"""Los Coyotes Blues Band""",,""""""
los hidalgos,"""Los Hidalgos""",,""""""
los lobos,"""Los Lobos""",,""""""
loscolognes,"""Los Colognes""",,""""""
losearly,"""unknown""",,""""""
loslate,"""unknown""",,""""""
loslobos,"""Los Lobos""",,""""""
lostexmaniacs,"""Los Texmaniacs""",,""""""
lou,"""unknown""",,""""""
loudon wainwright iii,"""Loudon Wainwright III""",,""""""
lovanodouglasquintet,"""Joe Lovano & Dave Douglas Quartet""",,""""""
love & rockets_november,"""Love and Rockets""",FALSE,""""""
love and rockets,"""Love and Rockets""",FALSE,""""""
love spit love,"""Love Spit Love""",,""""""
lovecanon,"""Love Cannon""",,""""""
lovely eggs,"""The Lovely Eggs""",,""""""
low,"""Low""",,""""""
lozsotgs,"""unknown""",,""""""
lp,"""unknown""",,""""""
lplf,"""unknown""",,""""""
lpx,"""unknown""",,""""""
lr,"""L-R""",,""""""
lrd,"""L.R.D. Band""",,""""""
lsp,"""LSP""",,""""""
lss,"""Long Story Short""",,""""""
ltb,"""unknown""",,""""""
luby sparks,"""Luby Sparks""",,""""""
lucero,"""Lucero""",,""""""
lucia cadotsch,"""Lucia Cadotsch""",,""""""
luciano,"""Luciano""",,""""""
lucinda,"""Lucinda Williams""",,""""""
lucinda williams,"""Lucinda Williams""",,""""""
lucinda.williams,"""Lucinda Williams""",,""""""
lucindawilliams,"""Lucinda Williams""",,""""""
luigi & the wiseguys + vega & thunders,"""Luigi & The Wiseguys with Alan Vega & Johnny Thunders""",,""""""
lukasnelson,"""Lukas Nelson""",,""""""
luke bryan,"""Luke Bryan""",,""""""
luna,"""Luna""",,""""""
lunasa,"""Lúnasa""",,""""""
lutherdickinson,"""Luther Dickinson""",,""""""
lw,"""unknown""",,""""""
lydia,"""Lydia""",,""""""
lydia_lunch,"""Ludia Lunch""",,""""""
lydiaharrell,"""Lydia Harrell""",,""""""
lyle,"""unknown""",,""""""
lynnemoorer,"""Lynne Moorer""",,""""""
lynryrd skynyrd,"""Lynyrd Skynyrd""",,""""""
lynskynlaf,"""unknown""",,""""""
lynyrd skynyrd,"""Lynyrd Skynyrd""",,""""""
lyricsborn,"""Lyrics Born""",,""""""
lz,"""unknown""",,""""""
lz_cd,"""unknown""",FALSE,""""""
m etheridge,"""Melissa Etheridge""",,""""""
maceo parker,"""Maceo Parker""",,""""""
maceoparker,"""Maceo Parker""",,""""""
machine head,"""Machine Head""",,""""""
macula dog,"""Macula Dog""",,""""""
madison.violet,"""Madison Violet""",,""""""
madstolling,"""Mads Tolling""",,""""""
magenta,"""Magenta""",,""""""
magicband,"""unknown""",,""""""
magicbeans,"""Magic Beans""",,""""""
magma,"""Magma""",,""""""
